あ,ア,VOWEL
い,イ,VOWEL
う,ウ,VOWEL
え,エ,VOWEL
お,オ,VOWEL
や,ャ,YA
ゆ,ュ,YA
よ,ョ,YA
か,カ,KA
き,キ,KA
く,ク,KA
け,ケ,KA
こ,コ,KA
きゃ,キャ,KYA
きゅ,キュ,KYA
きょ,キョ,KYA
さ,サ,SA
し,シ,SA
す,ス,SA
せ,セ,SA
そ,ソ,SA
しゃ,シャ,SHA
しゅ,シュ,SHA
しょ,ショ,SHA
た,タ,TA
ち,チ,TA
つ,ツ,TA
て,テ,TA
と,ト,TA
ちゃ,チャ,CHA
ちゅ,チュ,CHA
ちょ,チョ,CHA
な,ナ,NA
に,ニ,NA
ぬ,ヌ,NA
ね,ネ,NA
の,ノ,NA
にゃ,ニャ,NYA
にゅ,ニュ,NYA
にょ,ニョ,NYA
は,ハ,HA
ひ,ヒ,HA
ふ,フ,HA
へ,ヘ,HA
ほ,ホ,HA
ひゃ,ヒャ,HYA
ひゅ,ヒュ,HYA
ひょ,ヒョ,HYA
ま,マ,MA
み,ミ,MA
む,ム,MA
め,メ,MA
も,モ,MA
みゃ,ミャ,MYA
みゅ,ミュ,MYA
みょ,ミョ,MYA
ら,ラ,RA
り,リ,RA
る,ル,RA
れ,レ,RA
ろ,ロ,RA
りゃ,リャ,RYA
りゅ,リュ,RYA
りょ,リョ,RYA
わ,ワ,WA
を,ヲ,WA
ん,ン,N
が,ガ,GA
ぎ,ギ,GA
ぐ,グ,GA
げ,ゲ,GA
ご,ゴ,GA
ぎゃ,ギャ,GYA
ぎゅ,ギュ,GYA
ぎょ,ギョ,GYA
ざ,ザ,ZA
じ,ジ,ZA
ず,ズ,ZA
ぜ,ゼ,ZA
ぞ,ゾ,ZA
じゃ,ジャ,SHA
じゅ,ジュ,SHA
じょ,ジョ,SHA
だ,ダ,DA
ぢ,ヂ,DA
づ,ヅ,DA
で,デ,DA
ど,ド,DA
ぢゃ,ヂャ,JA
ぢゅ,ヂュ,JA
ぢょ,ヂョ,JA
ば,バ,BA
び,ビ,BA
ぶ,ブ,BA
べ,ベ,BA
ぼ,ボ,BA
びゃ,ビャ,BYA
びゅ,ビュ,BYA
びょ,ビョ,BYA
ぱ,パ,PA
ぴ,ピ,PA
ぷ,プ,PA
ぺ,ペ,PA
ぽ,ポ,PA
ぴゃ,ピャ,PYA
ぴゅ,ピュ,PYA
ぴょ,ピョ,PYA
